county,precinct,candidate,votes,voteType,party,office
St. Joseph,"Mottville Township, Precinct 1",Denise Ilitch,145,Total,Democrat,Regents of the U of MI
St. Joseph,"Nottawa Township, Precinct 1",Denise Ilitch,469,Total,Democrat,Regents of the U of MI
St. Joseph,"Park Township, Precinct 1",Denise Ilitch,372,Total,Democrat,Regents of the U of MI
St. Joseph,"Sherman Township, Precinct 1",Denise Ilitch,409,Total,Democrat,Regents of the U of MI
St. Joseph,"Sturgis Township, Precinct 1",Denise Ilitch,235,Total,Democrat,Regents of the U of MI
St. Joseph,"White Pigeon Township, Precinct 1",Denise Ilitch,454,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 1",Denise Ilitch,436,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 2",Denise Ilitch,223,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 3",Denise Ilitch,216,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 4",Denise Ilitch,345,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 1",Denise Ilitch,651,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 2",Denise Ilitch,625,Total,Democrat,Regents of the U of MI
St. Joseph,ALL,Shauna Ryder Diggs,7666,Total,Democrat,Regents of the U of MI
St. Joseph,"Burr Oak Township, Precinct 1",Shauna Ryder Diggs,234,Total,Democrat,Regents of the U of MI
St. Joseph,"Colon Township, Precinct 1",Shauna Ryder Diggs,347,Total,Democrat,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 1",Shauna Ryder Diggs,253,Total,Democrat,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 2",Shauna Ryder Diggs,168,Total,Democrat,Regents of the U of MI
St. Joseph,"Fabius Township, Precinct 1",Shauna Ryder Diggs,570,Total,Democrat,Regents of the U of MI
St. Joseph,"Fawn River Township, Precinct 1",Shauna Ryder Diggs,155,Total,Democrat,Regents of the U of MI
St. Joseph,"Florence Township, Precinct 1",Shauna Ryder Diggs,108,Total,Democrat,Regents of the U of MI
St. Joseph,"Flowerfield Township, Precinct 1",Shauna Ryder Diggs,233,Total,Democrat,Regents of the U of MI
St. Joseph,"Leonidas Township, Precinct 1",Shauna Ryder Diggs,110,Total,Democrat,Regents of the U of MI
St. Joseph,"Lockport Township, Precinct 1",Shauna Ryder Diggs,677,Total,Democrat,Regents of the U of MI
St. Joseph,"Mendon Township, Precinct 1",Shauna Ryder Diggs,429,Total,Democrat,Regents of the U of MI
St. Joseph,"Mottville Township, Precinct 1",Shauna Ryder Diggs,137,Total,Democrat,Regents of the U of MI
St. Joseph,"Nottawa Township, Precinct 1",Shauna Ryder Diggs,440,Total,Democrat,Regents of the U of MI
St. Joseph,"Park Township, Precinct 1",Shauna Ryder Diggs,345,Total,Democrat,Regents of the U of MI
St. Joseph,"Sherman Township, Precinct 1",Shauna Ryder Diggs,375,Total,Democrat,Regents of the U of MI
St. Joseph,"Sturgis Township, Precinct 1",Shauna Ryder Diggs,215,Total,Democrat,Regents of the U of MI
St. Joseph,"White Pigeon Township, Precinct 1",Shauna Ryder Diggs,434,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 1",Shauna Ryder Diggs,417,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 2",Shauna Ryder Diggs,223,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 3",Shauna Ryder Diggs,208,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 4",Shauna Ryder Diggs,330,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 1",Shauna Ryder Diggs,650,Total,Democrat,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 2",Shauna Ryder Diggs,608,Total,Democrat,Regents of the U of MI
St. Joseph,ALL,Carl Meyers,17956,Total,Republican,Regents of the U of MI
St. Joseph,"Burr Oak Township, Precinct 1",Carl Meyers,874,Total,Republican,Regents of the U of MI
St. Joseph,"Colon Township, Precinct 1",Carl Meyers,1056,Total,Republican,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 1",Carl Meyers,746,Total,Republican,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 2",Carl Meyers,516,Total,Republican,Regents of the U of MI
St. Joseph,"Fabius Township, Precinct 1",Carl Meyers,1265,Total,Republican,Regents of the U of MI
St. Joseph,"Fawn River Township, Precinct 1",Carl Meyers,536,Total,Republican,Regents of the U of MI
St. Joseph,"Florence Township, Precinct 1",Carl Meyers,459,Total,Republican,Regents of the U of MI
St. Joseph,"Flowerfield Township, Precinct 1",Carl Meyers,650,Total,Republican,Regents of the U of MI
St. Joseph,"Leonidas Township, Precinct 1",Carl Meyers,399,Total,Republican,Regents of the U of MI
St. Joseph,"Lockport Township, Precinct 1",Carl Meyers,1191,Total,Republican,Regents of the U of MI
St. Joseph,"Mendon Township, Precinct 1",Carl Meyers,981,Total,Republican,Regents of the U of MI
St. Joseph,"Mottville Township, Precinct 1",Carl Meyers,507,Total,Republican,Regents of the U of MI
St. Joseph,"Nottawa Township, Precinct 1",Carl Meyers,1123,Total,Republican,Regents of the U of MI
St. Joseph,"Park Township, Precinct 1",Carl Meyers,870,Total,Republican,Regents of the U of MI
St. Joseph,"Sherman Township, Precinct 1",Carl Meyers,1227,Total,Republican,Regents of the U of MI
St. Joseph,"Sturgis Township, Precinct 1",Carl Meyers,604,Total,Republican,Regents of the U of MI
St. Joseph,"White Pigeon Township, Precinct 1",Carl Meyers,1300,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 1",Carl Meyers,810,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 2",Carl Meyers,365,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 3",Carl Meyers,412,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 4",Carl Meyers,525,Total,Republican,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 1",Carl Meyers,741,Total,Republican,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 2",Carl Meyers,799,Total,Republican,Regents of the U of MI
St. Joseph,ALL,Sevag Vartanian,15857,Total,Republican,Regents of the U of MI
St. Joseph,"Burr Oak Township, Precinct 1",Sevag Vartanian,769,Total,Republican,Regents of the U of MI
St. Joseph,"Colon Township, Precinct 1",Sevag Vartanian,915,Total,Republican,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 1",Sevag Vartanian,658,Total,Republican,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 2",Sevag Vartanian,458,Total,Republican,Regents of the U of MI
St. Joseph,"Fabius Township, Precinct 1",Sevag Vartanian,1133,Total,Republican,Regents of the U of MI
St. Joseph,"Fawn River Township, Precinct 1",Sevag Vartanian,483,Total,Republican,Regents of the U of MI
St. Joseph,"Florence Township, Precinct 1",Sevag Vartanian,396,Total,Republican,Regents of the U of MI
St. Joseph,"Flowerfield Township, Precinct 1",Sevag Vartanian,589,Total,Republican,Regents of the U of MI
St. Joseph,"Leonidas Township, Precinct 1",Sevag Vartanian,349,Total,Republican,Regents of the U of MI
St. Joseph,"Lockport Township, Precinct 1",Sevag Vartanian,1037,Total,Republican,Regents of the U of MI
St. Joseph,"Mendon Township, Precinct 1",Sevag Vartanian,887,Total,Republican,Regents of the U of MI
St. Joseph,"Mottville Township, Precinct 1",Sevag Vartanian,444,Total,Republican,Regents of the U of MI
St. Joseph,"Nottawa Township, Precinct 1",Sevag Vartanian,1005,Total,Republican,Regents of the U of MI
St. Joseph,"Park Township, Precinct 1",Sevag Vartanian,775,Total,Republican,Regents of the U of MI
St. Joseph,"Sherman Township, Precinct 1",Sevag Vartanian,1085,Total,Republican,Regents of the U of MI
St. Joseph,"Sturgis Township, Precinct 1",Sevag Vartanian,533,Total,Republican,Regents of the U of MI
St. Joseph,"White Pigeon Township, Precinct 1",Sevag Vartanian,1153,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 1",Sevag Vartanian,706,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 2",Sevag Vartanian,316,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 3",Sevag Vartanian,359,Total,Republican,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 4",Sevag Vartanian,472,Total,Republican,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 1",Sevag Vartanian,627,Total,Republican,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 2",Sevag Vartanian,708,Total,Republican,Regents of the U of MI
St. Joseph,ALL,Andrew Chadderdon,968,Total,Libertarian,Regents of the U of MI
St. Joseph,"Burr Oak Township, Precinct 1",Andrew Chadderdon,48,Total,Libertarian,Regents of the U of MI
St. Joseph,"Colon Township, Precinct 1",Andrew Chadderdon,61,Total,Libertarian,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 1",Andrew Chadderdon,34,Total,Libertarian,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 2",Andrew Chadderdon,28,Total,Libertarian,Regents of the U of MI
St. Joseph,"Fabius Township, Precinct 1",Andrew Chadderdon,57,Total,Libertarian,Regents of the U of MI
St. Joseph,"Fawn River Township, Precinct 1",Andrew Chadderdon,28,Total,Libertarian,Regents of the U of MI
St. Joseph,"Florence Township, Precinct 1",Andrew Chadderdon,22,Total,Libertarian,Regents of the U of MI
St. Joseph,"Flowerfield Township, Precinct 1",Andrew Chadderdon,30,Total,Libertarian,Regents of the U of MI
St. Joseph,"Leonidas Township, Precinct 1",Andrew Chadderdon,21,Total,Libertarian,Regents of the U of MI
St. Joseph,"Lockport Township, Precinct 1",Andrew Chadderdon,80,Total,Libertarian,Regents of the U of MI
St. Joseph,"Mendon Township, Precinct 1",Andrew Chadderdon,45,Total,Libertarian,Regents of the U of MI
St. Joseph,"Mottville Township, Precinct 1",Andrew Chadderdon,25,Total,Libertarian,Regents of the U of MI
St. Joseph,"Nottawa Township, Precinct 1",Andrew Chadderdon,49,Total,Libertarian,Regents of the U of MI
St. Joseph,"Park Township, Precinct 1",Andrew Chadderdon,37,Total,Libertarian,Regents of the U of MI
St. Joseph,"Sherman Township, Precinct 1",Andrew Chadderdon,53,Total,Libertarian,Regents of the U of MI
St. Joseph,"Sturgis Township, Precinct 1",Andrew Chadderdon,30,Total,Libertarian,Regents of the U of MI
St. Joseph,"White Pigeon Township, Precinct 1",Andrew Chadderdon,58,Total,Libertarian,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 1",Andrew Chadderdon,45,Total,Libertarian,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 2",Andrew Chadderdon,32,Total,Libertarian,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 3",Andrew Chadderdon,27,Total,Libertarian,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 4",Andrew Chadderdon,23,Total,Libertarian,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 1",Andrew Chadderdon,60,Total,Libertarian,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 2",Andrew Chadderdon,75,Total,Libertarian,Regents of the U of MI
St. Joseph,ALL,Donna M. Oetman,1153,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Burr Oak Township, Precinct 1",Donna M. Oetman,62,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Colon Township, Precinct 1",Donna M. Oetman,78,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 1",Donna M. Oetman,47,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 2",Donna M. Oetman,36,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Fabius Township, Precinct 1",Donna M. Oetman,72,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Fawn River Township, Precinct 1",Donna M. Oetman,27,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Florence Township, Precinct 1",Donna M. Oetman,23,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Flowerfield Township, Precinct 1",Donna M. Oetman,24,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Leonidas Township, Precinct 1",Donna M. Oetman,21,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Lockport Township, Precinct 1",Donna M. Oetman,92,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Mendon Township, Precinct 1",Donna M. Oetman,51,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Mottville Township, Precinct 1",Donna M. Oetman,36,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Nottawa Township, Precinct 1",Donna M. Oetman,70,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Park Township, Precinct 1",Donna M. Oetman,41,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Sherman Township, Precinct 1",Donna M. Oetman,62,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"Sturgis Township, Precinct 1",Donna M. Oetman,30,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"White Pigeon Township, Precinct 1",Donna M. Oetman,66,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 1",Donna M. Oetman,56,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 2",Donna M. Oetman,23,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 3",Donna M. Oetman,33,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 4",Donna M. Oetman,38,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 1",Donna M. Oetman,72,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 2",Donna M. Oetman,93,Total,U.S. Taxpayers,Regents of the U of MI
St. Joseph,ALL,Write-in,154,Total,,Regents of the U of MI
St. Joseph,"Burr Oak Township, Precinct 1",Write-in,1,Total,,Regents of the U of MI
St. Joseph,"Colon Township, Precinct 1",Write-in,10,Total,,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 1",Write-in,9,Total,,Regents of the U of MI
St. Joseph,"Constantine Township, Precinct 2",Write-in,1,Total,,Regents of the U of MI
St. Joseph,"Fabius Township, Precinct 1",Write-in,10,Total,,Regents of the U of MI
St. Joseph,"Fawn River Township, Precinct 1",Write-in,1,Total,,Regents of the U of MI
St. Joseph,"Florence Township, Precinct 1",Write-in,1,Total,,Regents of the U of MI
St. Joseph,"Flowerfield Township, Precinct 1",Write-in,5,Total,,Regents of the U of MI
St. Joseph,"Leonidas Township, Precinct 1",Write-in,6,Total,,Regents of the U of MI
St. Joseph,"Lockport Township, Precinct 1",Write-in,12,Total,,Regents of the U of MI
St. Joseph,"Mendon Township, Precinct 1",Write-in,6,Total,,Regents of the U of MI
St. Joseph,"Mottville Township, Precinct 1",Write-in,6,Total,,Regents of the U of MI
St. Joseph,"Nottawa Township, Precinct 1",Write-in,3,Total,,Regents of the U of MI
St. Joseph,"Park Township, Precinct 1",Write-in,5,Total,,Regents of the U of MI
St. Joseph,"Sherman Township, Precinct 1",Write-in,11,Total,,Regents of the U of MI
St. Joseph,"Sturgis Township, Precinct 1",Write-in,3,Total,,Regents of the U of MI
St. Joseph,"White Pigeon Township, Precinct 1",Write-in,13,Total,,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 1",Write-in,9,Total,,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 2",Write-in,5,Total,,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 3",Write-in,3,Total,,Regents of the U of MI
St. Joseph,"City of Sturgis, Precinct 4",Write-in,6,Total,,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 1",Write-in,13,Total,,Regents of the U of MI
St. Joseph,"City of Three Rivers, Precinct 2",Write-in,15,Total,,Regents of the U of MI
St. Joseph,ALL,Rebecca Bahar-Cook,8041,Total,Democrat,Trustee of Mich State
St. Joseph,"Burr Oak Township, Precinct 1",Rebecca Bahar-Cook,245,Total,Democrat,Trustee of Mich State
St. Joseph,"Colon Township, Precinct 1",Rebecca Bahar-Cook,368,Total,Democrat,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 1",Rebecca Bahar-Cook,275,Total,Democrat,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 2",Rebecca Bahar-Cook,177,Total,Democrat,Trustee of Mich State
St. Joseph,"Fabius Township, Precinct 1",Rebecca Bahar-Cook,597,Total,Democrat,Trustee of Mich State
St. Joseph,"Fawn River Township, Precinct 1",Rebecca Bahar-Cook,168,Total,Democrat,Trustee of Mich State
St. Joseph,"Florence Township, Precinct 1",Rebecca Bahar-Cook,114,Total,Democrat,Trustee of Mich State
St. Joseph,"Flowerfield Township, Precinct 1",Rebecca Bahar-Cook,237,Total,Democrat,Trustee of Mich State
St. Joseph,"Leonidas Township, Precinct 1",Rebecca Bahar-Cook,112,Total,Democrat,Trustee of Mich State
St. Joseph,"Lockport Township, Precinct 1",Rebecca Bahar-Cook,696,Total,Democrat,Trustee of Mich State
St. Joseph,"Mendon Township, Precinct 1",Rebecca Bahar-Cook,445,Total,Democrat,Trustee of Mich State
St. Joseph,"Mottville Township, Precinct 1",Rebecca Bahar-Cook,138,Total,Democrat,Trustee of Mich State
St. Joseph,"Nottawa Township, Precinct 1",Rebecca Bahar-Cook,478,Total,Democrat,Trustee of Mich State
St. Joseph,"Park Township, Precinct 1",Rebecca Bahar-Cook,367,Total,Democrat,Trustee of Mich State
St. Joseph,"Sherman Township, Precinct 1",Rebecca Bahar-Cook,404,Total,Democrat,Trustee of Mich State
St. Joseph,"Sturgis Township, Precinct 1",Rebecca Bahar-Cook,227,Total,Democrat,Trustee of Mich State
St. Joseph,"White Pigeon Township, Precinct 1",Rebecca Bahar-Cook,445,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 1",Rebecca Bahar-Cook,451,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 2",Rebecca Bahar-Cook,236,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 3",Rebecca Bahar-Cook,220,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 4",Rebecca Bahar-Cook,344,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 1",Rebecca Bahar-Cook,668,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 2",Rebecca Bahar-Cook,629,Total,Democrat,Trustee of Mich State
St. Joseph,ALL,Thomas Stallworth III,7113,Total,Democrat,Trustee of Mich State
St. Joseph,"Burr Oak Township, Precinct 1",Thomas Stallworth III,211,Total,Democrat,Trustee of Mich State
St. Joseph,"Colon Township, Precinct 1",Thomas Stallworth III,326,Total,Democrat,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 1",Thomas Stallworth III,237,Total,Democrat,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 2",Thomas Stallworth III,155,Total,Democrat,Trustee of Mich State
St. Joseph,"Fabius Township, Precinct 1",Thomas Stallworth III,544,Total,Democrat,Trustee of Mich State
St. Joseph,"Fawn River Township, Precinct 1",Thomas Stallworth III,149,Total,Democrat,Trustee of Mich State
St. Joseph,"Florence Township, Precinct 1",Thomas Stallworth III,99,Total,Democrat,Trustee of Mich State
St. Joseph,"Flowerfield Township, Precinct 1",Thomas Stallworth III,222,Total,Democrat,Trustee of Mich State
St. Joseph,"Leonidas Township, Precinct 1",Thomas Stallworth III,99,Total,Democrat,Trustee of Mich State
St. Joseph,"Lockport Township, Precinct 1",Thomas Stallworth III,621,Total,Democrat,Trustee of Mich State
St. Joseph,"Mendon Township, Precinct 1",Thomas Stallworth III,386,Total,Democrat,Trustee of Mich State
St. Joseph,"Mottville Township, Precinct 1",Thomas Stallworth III,130,Total,Democrat,Trustee of Mich State
St. Joseph,"Nottawa Township, Precinct 1",Thomas Stallworth III,415,Total,Democrat,Trustee of Mich State
St. Joseph,"Park Township, Precinct 1",Thomas Stallworth III,323,Total,Democrat,Trustee of Mich State
St. Joseph,"Sherman Township, Precinct 1",Thomas Stallworth III,355,Total,Democrat,Trustee of Mich State
St. Joseph,"Sturgis Township, Precinct 1",Thomas Stallworth III,201,Total,Democrat,Trustee of Mich State
St. Joseph,"White Pigeon Township, Precinct 1",Thomas Stallworth III,390,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 1",Thomas Stallworth III,387,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 2",Thomas Stallworth III,206,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 3",Thomas Stallworth III,194,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 4",Thomas Stallworth III,302,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 1",Thomas Stallworth III,603,Total,Democrat,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 2",Thomas Stallworth III,558,Total,Democrat,Trustee of Mich State
St. Joseph,ALL,Mike Balow,17170,Total,Republican,Trustee of Mich State
St. Joseph,"Burr Oak Township, Precinct 1",Mike Balow,833,Total,Republican,Trustee of Mich State
St. Joseph,"Colon Township, Precinct 1",Mike Balow,1002,Total,Republican,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 1",Mike Balow,693,Total,Republican,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 2",Mike Balow,494,Total,Republican,Trustee of Mich State
St. Joseph,"Fabius Township, Precinct 1",Mike Balow,1236,Total,Republican,Trustee of Mich State
St. Joseph,"Fawn River Township, Precinct 1",Mike Balow,517,Total,Republican,Trustee of Mich State
St. Joseph,"Florence Township, Precinct 1",Mike Balow,439,Total,Republican,Trustee of Mich State
St. Joseph,"Flowerfield Township, Precinct 1",Mike Balow,635,Total,Republican,Trustee of Mich State
St. Joseph,"Leonidas Township, Precinct 1",Mike Balow,383,Total,Republican,Trustee of Mich State
St. Joseph,"Lockport Township, Precinct 1",Mike Balow,1134,Total,Republican,Trustee of Mich State
St. Joseph,"Mendon Township, Precinct 1",Mike Balow,960,Total,Republican,Trustee of Mich State
St. Joseph,"Mottville Township, Precinct 1",Mike Balow,478,Total,Republican,Trustee of Mich State
St. Joseph,"Nottawa Township, Precinct 1",Mike Balow,1077,Total,Republican,Trustee of Mich State
St. Joseph,"Park Township, Precinct 1",Mike Balow,835,Total,Republican,Trustee of Mich State
St. Joseph,"Sherman Township, Precinct 1",Mike Balow,1172,Total,Republican,Trustee of Mich State
St. Joseph,"Sturgis Township, Precinct 1",Mike Balow,573,Total,Republican,Trustee of Mich State
St. Joseph,"White Pigeon Township, Precinct 1",Mike Balow,1255,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 1",Mike Balow,758,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 2",Mike Balow,345,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 3",Mike Balow,381,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 4",Mike Balow,512,Total,Republican,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 1",Mike Balow,696,Total,Republican,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 2",Mike Balow,762,Total,Republican,Trustee of Mich State
St. Joseph,ALL,Julie Maday,16844,Total,Republican,Trustee of Mich State
St. Joseph,"Burr Oak Township, Precinct 1",Julie Maday,821,Total,Republican,Trustee of Mich State
St. Joseph,"Colon Township, Precinct 1",Julie Maday,985,Total,Republican,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 1",Julie Maday,710,Total,Republican,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 2",Julie Maday,472,Total,Republican,Trustee of Mich State
St. Joseph,"Fabius Township, Precinct 1",Julie Maday,1190,Total,Republican,Trustee of Mich State
St. Joseph,"Fawn River Township, Precinct 1",Julie Maday,500,Total,Republican,Trustee of Mich State
St. Joseph,"Florence Township, Precinct 1",Julie Maday,413,Total,Republican,Trustee of Mich State
St. Joseph,"Flowerfield Township, Precinct 1",Julie Maday,607,Total,Republican,Trustee of Mich State
St. Joseph,"Leonidas Township, Precinct 1",Julie Maday,374,Total,Republican,Trustee of Mich State
St. Joseph,"Lockport Township, Precinct 1",Julie Maday,1110,Total,Republican,Trustee of Mich State
St. Joseph,"Mendon Township, Precinct 1",Julie Maday,935,Total,Republican,Trustee of Mich State
St. Joseph,"Mottville Township, Precinct 1",Julie Maday,479,Total,Republican,Trustee of Mich State
St. Joseph,"Nottawa Township, Precinct 1",Julie Maday,1071,Total,Republican,Trustee of Mich State
St. Joseph,"Park Township, Precinct 1",Julie Maday,815,Total,Republican,Trustee of Mich State
St. Joseph,"Sherman Township, Precinct 1",Julie Maday,1162,Total,Republican,Trustee of Mich State
St. Joseph,"Sturgis Township, Precinct 1",Julie Maday,566,Total,Republican,Trustee of Mich State
St. Joseph,"White Pigeon Township, Precinct 1",Julie Maday,1233,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 1",Julie Maday,755,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 2",Julie Maday,339,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 3",Julie Maday,381,Total,Republican,Trustee of Mich State
St. Joseph,"City of Sturgis, Precinct 4",Julie Maday,492,Total,Republican,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 1",Julie Maday,678,Total,Republican,Trustee of Mich State
St. Joseph,"City of Three Rivers, Precinct 2",Julie Maday,756,Total,Republican,Trustee of Mich State
St. Joseph,ALL,Grant T. Baker,772,Total,Libertarian,Trustee of Mich State
St. Joseph,"Burr Oak Township, Precinct 1",Grant T. Baker,35,Total,Libertarian,Trustee of Mich State
St. Joseph,"Colon Township, Precinct 1",Grant T. Baker,41,Total,Libertarian,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 1",Grant T. Baker,27,Total,Libertarian,Trustee of Mich State
St. Joseph,"Constantine Township, Precinct 2",Grant T. Baker,28,Total,Libertarian,Trustee of Mich State
St. Joseph,"Fabius Township, Precinct 1",Grant T. Baker,48,Total,Libertarian,Trustee of Mich State
St. Joseph,"Fawn River Township, Precinct 1",Grant T. Baker,14,Total,Libertarian,Trustee of Mich State
St. Joseph,"Florence Township, Precinct 1",Grant T. Baker,18,Total,Libertarian,Trustee of Mich State
St. Joseph,"Flowerfield Township, Precinct 1",Grant T. Baker,33,Total,Libertarian,Trustee of Mich State
St. Joseph,"Leonidas Township, Precinct 1",Grant T. Baker,20,Total,Libertarian,Trustee of Mich State
St. Joseph,"Lockport Township, Precinct 1",Grant T. Baker,57,Total,Libertarian,Trustee of Mich State
St. Joseph,"Mendon Township, Precinct 1",Grant T. Baker,31,Total,Libertarian,Trustee of Mich State
St. Joseph,"Mottville Township, Precinct 1",Grant T. Baker,23,Total,Libertarian,Trustee of Mich State
St. Joseph,"Nottawa Township, Precinct 1",Grant T. Baker,36,Total,Libertarian,Trustee of Mich State
St. Joseph,"Park Township, Precinct 1",Grant T. Baker,32,Total,Libertarian,Trustee of Mich State
St. Joseph,"Sherman Township, Precinct 1",Grant T. Baker,46,Total,Libertarian,Trustee of Mich State
St. Joseph,"Sturgis Township, Precinct 1",Grant T. Baker,20,Total,Libertarian,Trustee of Mich State
St. Joseph,"White Pigeon Township, Precinct 1",Grant T. Baker,41,Total,Libertarian,Trustee of Mich State
